meal_type,meal_name,preparation_time,calories,ingredients,recipe_link
Breakfast,Mandazi,Moderate,High in Calories,Rich in carbs,https://swahilifood.com/how-to-make-soft-mandazi-biegnets/
Breakfast,Omelette,Quick and Easy,Medium in Calories,Rich in lean proteins,https://joyfoodsunshine.com/omelette-recipe/
Breakfast,Avocado Toast,Quick and Easy,Low in Calories,Rich in vegetables,https://cookieandkate.com/avocado-toast-recipe/
Breakfast,Greek Yogurt with Honey and Nuts,Quick and Easy,Medium in Calories,Rich in lean proteins,https://toriavey.com/yiaourti-me-meli-greek-yogurt-honey-and-nuts/
Breakfast,Smoothie Bowl,Quick and Easy,Medium in Calories,Rich in vegetables,https://minimalistbaker.com/favorite-smoothie-bowl-5-minutes/
Breakfast,Overnight Oats,Quick and Easy,Medium in Calories,Rich in carbs,https://feelgoodfoodie.net/recipe/overnight-oats/
Breakfast,Pancakes,Moderate,High in Calories,Rich in carbs,https://www.allrecipes.com/recipe/21014/good-old-fashioned-pancakes/
Breakfast,Beef Samosas,Extended,Medium in Calories,Rich in lean proteins,https://www.allrecipes.com/recipe/24871/beef-samosas/
Breakfast,French Toast,Moderate,Medium in Calories,Rich in carbs,https://tastesbetterfromscratch.com/classic-french-toast/
Breakfast,Eggs Benedict,Extended,High in Calories,Rich in lean proteins,https://www.recipetineats.com/eggs-benedict/
Breakfast,Chocolate Mug Cake,Moderate,High in Calories,Rich in carbs,https://www.allrecipes.com/recipe/241038/microwave-chocolate-mug-cake/
Breakfast,Veggie Frittata,Moderate,Medium in Calories,Rich in vegetables,https://www.themediterraneandish.com/vegetable-frittata/
Breakfast,Kenyan Mandazi with Tea,Moderate,High in Calories,Rich in carbs,https://swahilifood.com/how-to-make-soft-mandazi-biegnets/
Breakfast,Chia Pudding,Quick and Easy,Low in Calories,Rich in carbs,https://www.loveandlemons.com/chia-seed-pudding/
Breakfast,Breakfast Burrito,Moderate,High in Calories,Rich in lean proteins,https://www.loveandlemons.com/breakfast-burrito/
Breakfast,Cottage Cheese Pancakes,Moderate,Medium in Calories,Rich in lean proteins,https://momsdish.com/recipe/177/cottage-cheese-pancakes
Lunch,Ndengu and Rice,Moderate,Medium in Calories,Rich in protein,https://toasterding.com/basic-rice-ndengu-stew-recipe/
Lunch,Matoke,Moderate,High in Calories,Rich in carbs,https://cheflolaskitchen.com/matoke/
Lunch,Ugali and Fish,Moderate,Medium in Calories,Rich in lean proteins,https://www.pikachakula.com/recipe-view/fried-fish-tomato-gravy-ugali/
Lunch,Ugali and Chicken,Quick and Easy,Medium in Calories,Rich in lean proteins,https://pendolamama.co.ke/basic-chicken-stew/
Lunch,Grilled Chicken Salad,Quick and Easy,Low in Calories,Rich in lean proteins,https://www.dinneratthezoo.com/grilled-chicken-salad/
Lunch,Quinoa Bowl,Moderate,Medium in Calories,Rich in carbs,https://greenhealthycooking.com/chicken-quinoa-bowl/
Lunch,Turkey Sandwich,Quick and Easy,Medium in Calories,Rich in lean proteins,https://www.favfamilyrecipes.com/turkey-sandwich/
Lunch,Vegetable Stir-Fry,Quick and Easy,Low in Calories,Rich in vegetables,https://therecipecritic.com/vegetable-stir-fry/
Lunch,Green Peas and Rice,Moderate,Medium in Calories,Rich in lean proteins,https://cookpad.com/ke/recipes/3034719-peas-stew-and-rice
Lunch,Stuffed Bell Peppers,Moderate,Medium in Calories,Rich in vegetables,https://www.budgetbytes.com/stuffed-bell-peppers/
Lunch,Tuna Salad,Quick and Easy,Low in Calories,Rich in lean proteins,https://www.delish.com/cooking/recipe-ideas/a43533456/tuna-salad-recipe/
Lunch,Kenyan Pilau,Extended,Medium in Calories,Rich in carbs,https://cheflolaskitchen.com/east-african-pilau/
Lunch, Sukuma Wiki with Ugali,Moderate,Medium in Calories,Rich in vegetables,https://www.africanbites.com/sukuma-wiki/
Lunch,Chicken Caesar Wrap,Quick and Easy,Medium in Calories,Rich in lean proteins,https://www.tasteandtellblog.com/chicken-caesar-wraps/
Lunch,Mushroom Risotto,Extended,Medium in Calories,Rich in carbs,https://www.loveandlemons.com/mushroom-risotto/
Lunch,Githeri,Moderate,Medium in Calories,Rich in carbs,https://cookpad.com/ke/recipes/2353615-tasty-githeri
Supper,Beef Stew and Rice,Moderate,Medium in Calories,Rich in lean proteins,https://shewearsmanyhats.com/easy-stew-beef-rice-recipe/
Supper,Fish Curry,Extended,Medium in Calories,Rich in lean proteins,https://greenspoon.co.ke/swahili-fish-curry/
Supper,Kuku Paka (Chicken in Coconut Sauce),Moderate,High in Calories,Rich in lean proteins,https://www.recipetineats.com/african-chicken-curry-kuku-paka/
Supper,Chapati and Beef,Extended,High in Calories,Rich in carbs,https://cookpad.com/ke/recipes/11254504-chapati-with-beef-stew
Supper,Rice and Beans,Moderate,Medium in Calories,Rich in proteins,https://spainonafork.com/3-bean-stew-with-rice-vegetables-recipe/
Supper,Mukimo and Beef,Extended,High in Calories,Rich in lean proteins,https://cookpad.com/ke/recipes/2747990-mukimo-beef-stew-and-mixed-vegetables
Supper,Pilau,Extended,Medium in Calories,Rich in carbs,https://cheflolaskitchen.com/east-african-pilau/
Supper,Spaghetti Bolognese,Moderate,High in Calories,Rich in carbs,https://www.recipetineats.com/spaghetti-bolognese/
Supper,Chicken Stir-Fry,Quick and Easy,Medium in Calories,Rich in lean proteins,https://www.budgetbytes.com/chicken-stir-fry/
Supper,Vegetable Curry,Moderate,Medium in Calories,Rich in vegetables,https://www.cookwithmanali.com/mixed-veg-recipe/
Supper,Beef Tacos,Quick and Easy,High in Calories,Rich in lean proteins,https://feelgoodfoodie.net/recipe/ground-beef-tacos-napa-cabbage-guacamole/
Supper,Rice and Vegetable Stir-Fry,Quick and Easy,Medium in Calories,Rich in vegetables,https://cookieandkate.com/vegetable-fried-rice-recipe/
Supper, Nyama Choma with Kachumbari,Extended,High in Calories,Rich in lean proteins,https://cookpad.com/ke/recipes/6358489-nyama-choma-with-traditional-vegetables-and-kachumbari
Supper,Stuffed Sweet Potatoes,Moderate,Medium in Calories,Rich in lean proteins,https://www.loveandlemons.com/stuffed-sweet-potatoes/
Supper,Eggplant Parmesan,Extended,High in Calories,Rich in carbs,https://www.simplyrecipes.com/recipes/eggplant_parmesan/
Supper,Sweet and Sour Pork,Moderate,Medium in Calories,Rich in proteins,https://www.recipetineats.com/sweet-and-sour-pork/
Supper,Chicken Fajitas,Quick and Easy,Medium in Calories,Rich in lean proteins,https://www.bbcgoodfood.com/recipes/collection/chicken-fajitas
Supper,Chili Con,Extended,High in Calories,Rich in carbs,https://www.cuisinefiend.com/802/chilli-con-corn
Supper,Baked Salmon with Vegetables,Moderate,Medium in Calories,Rich in lean proteins,https://www.lecremedelacrumb.com/best-easy-healthy-baked-salmon/
Supper,Pasta Primavera,Moderate,Medium in Calories,Rich in vegetables,https://www.loveandlemons.com/pasta-primavera/
